t_rel_s,x,y,maneuver_state
12.750000,1261.356934,-82.568329,follow_lane
12.800000,1261.616211,-82.568542,follow_lane
12.850000,1261.875732,-82.568527,follow_lane
12.900000,1262.137817,-82.568604,follow_lane
12.950000,1262.425171,-82.568657,follow_lane
13.000000,1262.732666,-82.569054,follow_lane
13.050000,1263.043945,-82.569244,follow_lane
13.100000,1263.354492,-82.569664,follow_lane
13.150000,1263.661865,-82.569839,follow_lane
13.200000,1263.964600,-82.570236,follow_lane
13.250000,1264.261475,-82.570381,follow_lane
13.300000,1264.551880,-82.570702,follow_lane
13.350000,1264.837646,-82.570831,follow_lane
13.400000,1265.119995,-82.571167,follow_lane
13.450000,1265.378540,-82.571411,follow_lane
13.500000,1265.589233,-82.571220,follow_lane
13.550000,1265.789917,-82.571251,follow_lane
13.600000,1265.988159,-82.571396,follow_lane
13.650000,1266.188354,-82.571465,follow_lane
13.700000,1266.393921,-82.571564,follow_lane
13.750000,1266.607178,-82.571632,follow_lane
13.800000,1266.829346,-82.571701,follow_lane
13.850000,1267.060669,-82.571762,follow_lane
13.900000,1267.301636,-82.571861,follow_lane
13.950000,1267.552490,-82.571983,follow_lane
14.000000,1267.812988,-82.572105,follow_lane
14.050000,1268.075317,-82.572227,follow_lane
14.100000,1268.335449,-82.572334,follow_lane
14.150000,1268.594604,-82.572479,follow_lane
14.200000,1268.855225,-82.572624,follow_lane
14.250000,1269.116333,-82.572762,follow_lane
14.300000,1269.377808,-82.572891,follow_lane
14.350000,1269.655884,-82.573036,follow_lane
14.400000,1269.953857,-82.573189,follow_lane
14.450000,1270.258667,-82.573341,follow_lane
14.500000,1270.565552,-82.573486,follow_lane
14.550000,1270.870483,-82.573631,follow_lane
14.600000,1271.171997,-82.573776,follow_lane
14.650000,1271.468262,-82.573921,follow_lane
14.700000,1271.758789,-82.574074,follow_lane
14.750000,1272.043457,-82.574203,follow_lane
14.800000,1272.324951,-82.574356,follow_lane
14.850000,1272.598389,-82.574509,follow_lane
14.900000,1272.848755,-82.574654,follow_lane
14.950000,1273.080688,-82.574760,follow_lane
15.000000,1273.305420,-82.574860,follow_lane
15.050000,1273.530029,-82.574959,follow_lane
15.100000,1273.759155,-82.575066,follow_lane
15.150000,1273.994995,-82.575165,waiting_left
15.200000,1274.238647,-82.575310,waiting_left
15.250000,1274.486328,-82.575447,waiting_left
15.300000,1274.731689,-82.575592,waiting_left
15.350000,1274.969238,-82.575737,waiting_left
15.400000,1275.196045,-82.575851,waiting_left
15.450000,1275.409790,-82.575943,waiting_left
15.500000,1275.610718,-82.576042,waiting_left
15.550000,1275.799561,-82.576141,waiting_left
15.600000,1275.977173,-82.576248,waiting_left
15.650000,1276.145020,-82.576347,waiting_left
15.700000,1276.302979,-82.576447,waiting_left
15.750000,1276.451904,-82.576538,waiting_left
15.800000,1276.591797,-82.576637,waiting_left
15.850000,1276.723755,-82.576714,waiting_left
15.900000,1276.848022,-82.576759,waiting_left
15.950000,1276.965088,-82.576805,waiting_left
16.000000,1277.075073,-82.576851,waiting_left
16.050000,1277.178833,-82.576904,waiting_left
16.100000,1277.276367,-82.576950,waiting_left
16.150000,1277.368286,-82.577003,waiting_left
16.200000,1277.454956,-82.577049,waiting_left
16.250000,1277.527344,-82.577095,waiting_left
16.300000,1277.577759,-82.577133,waiting_left
16.350000,1277.628540,-82.577148,waiting_left
16.400000,1277.679077,-82.577187,waiting_left
16.450000,1277.729736,-82.577232,waiting_left
16.500000,1277.780151,-82.577263,waiting_left
16.550000,1277.831055,-82.577293,waiting_left
16.600000,1277.882202,-82.577339,waiting_left
16.650000,1277.934082,-82.577370,changing_left
16.700000,1277.986328,-82.578804,changing_left
16.750000,1278.038940,-82.583542,changing_left
16.800000,1278.060181,-82.585136,changing_left
16.850000,1278.059448,-82.584885,changing_left
16.900000,1278.059326,-82.584801,changing_left
16.950000,1278.059570,-82.584785,changing_left
17.000000,1278.059937,-82.584763,changing_left
17.050000,1278.061401,-82.585236,changing_left
